product_id,h_code
KAO-QB00028,H226
KAO-QB00028,H302
KAO-QB00028,H314
KAO-QB00028,H318
KAO-QB00028,H317
KAO-QB00028,H336
KAO-QB00028,H372
KAO-QB00028,H400
KAO-QB00028,H411
ASH-QB00010,H319
IFF-QB00289,H227
IFF-QB00289,H315
IFF-QB00289,H317
IFF-QB00289,H319
IFF-QB00289,H361
IFF-QB00206,H227
IFF-QB00206,H315
IFF-QB00206,H317
IFF-QB00206,H319
IFF-QB00206,H361
IFF-QB00137,H227
IFF-QB00137,H315
IFF-QB00137,H317
IFF-QB00137,H319
IFF-QB00137,H361
VAR-QB00172,H226
VAR-QB00172,H412
IFF-QB00175,H315
IFF-QB00175,H317
IFF-QB00175,H361
KAO-QB00029,H302
KAO-QB00029,H314
KAO-QB00029,H318
KAO-QB00029,H372
KAO-QB00029,H400
KAO-QB00029,H411
KAO-QB00097,H315
KAO-QB00097,H318
KAO-QB00097,H412
KAO-QB00030,H226
KAO-QB00030,H302+H312
KAO-QB00030,H314
KAO-QB00030,H400
KAO-QB00031,H319
KAO-QB00031,H410
VAR-QB00069,H302
VAR-QB00069,H315
VAR-QB00069,H318
VAR-QB00070,H315
VAR-QB00070,H319
VAR-QB00071,H319
IFF-QB00138,H302
IFF-QB00139,H227
IFF-QB00139,H315
IFF-QB00139,H317
IFF-QB00139,H319
IFF-QB00139,H361
VAR-QB00073,H302
VAR-QB00073,H318
VAR-QB00073,H401
VAR-QB00073,H412
KAO-QB00104,H301
KAO-QB00104,H314
KAO-QB00104,H318
KAO-QB00104,H372
KAO-QB00103,H302
KAO-QB00103,H314
KAO-QB00103,H318
KAO-QB00103,H372
KAO-QB00039,H302
KAO-QB00039,H314
KAO-QB00039,H318
KAO-QB00039,H372
KAO-QB00039,H400
KAO-QB00039,H410
VAR-QB00075,H226
VAR-QB00075,H304
VAR-QB00075,H315
VAR-QB00075,H317
VAR-QB00075,H410
IFF-QB00088,H227
IFF-QB00088,H315
IFF-QB00088,H317
IFF-QB00088,H319
IFF-QB00088,H336
IFF-QB00140,H315
IFF-QB00140,H317
IFF-QB00140,H319
IFF-QB00140,H361
IFF-QB00044,H317
IFF-QB00044,H361
IFF-QB00045,H227
IFF-QB00045,H315
IFF-QB00045,H317
IFF-QB00045,H319
IFF-QB00045,H336
IFF-QB00007,H227
IFF-QB00007,H315
IFF-QB00007,H317
IFF-QB00007,H319
IFF-QB00007,H336
IFF-QB00008,H227
IFF-QB00008,H315
IFF-QB00008,H317
IFF-QB00008,H319
IFF-QB00207,H315
IFF-QB00207,H317
IFF-QB00207,H319
IFF-QB00207,H350
IFF-QB00207,H361
IFF-QB00207,H373
IFF-QB00009,H226
IFF-QB00009,H302
IFF-QB00009,H304
IFF-QB00009,H315
IFF-QB00009,H317
IFF-QB00009,H318
IFF-QB00009,H361
IFF-QB00009,H371
IFF-QB00290,H317
IFF-QB00239,H227
IFF-QB00239,H304
IFF-QB00239,H315
IFF-QB00239,H317
IFF-QB00239,H318
IFF-QB00239,H361
IFF-QB00046,H227
IFF-QB00046,H315
IFF-QB00046,H317
IFF-QB00046,H319
IFF-QB00046,H361
VAR-QB00076,H315
VAR-QB00076,H319
VAR-QB00076,H332
VAR-QB00076,H351
VAR-QB00076,H373
ASH-QB00058,H302
ASH-QB00058,H318
ASH-QB00058,H335
IFF-QB00141,H227
IFF-QB00141,H315
IFF-QB00141,H317
IFF-QB00141,H319
IFF-QB00047,H227
IFF-QB00047,H315
IFF-QB00047,H317
IFF-QB00047,H319
IFF-QB00047,H361
IFF-QB00199,H315
IFF-QB00199,H317
IFF-QB00199,H319
KAO-QB00041,H302
KAO-QB00041,H315
KAO-QB00041,H318
KAO-QB00041,H412
KAO-QB00044,H315
KAO-QB00044,H318
KAO-QB00044,H412
KAO-QB00046,H302
KAO-QB00046,H315
KAO-QB00046,H318
KAO-QB00046,H412
KAO-QB00085,H315
KAO-QB00085,H318
VAR-QB00078,H319
ASH-QB00014,H303
ASH-QB00014,H315
ASH-QB00014,H319
VAR-QB00082,H290
VAR-QB00082,H314
VAR-QB00082,H335
VAR-QB00082,H412
IFF-QB00089,H315
IFF-QB00089,H317
IFF-QB00089,H350
IFF-QB00089,H361
ASH-QB00016,H303
ASH-QB00016,H314
ASH-QB00016,H317
ASH-QB00059,H302
ASH-QB00059,H318
ASH-QB00059,H335
ASH-QB00076,H302
ASH-QB00076,H317
ASH-QB00076,H318
ASH-QB00017,H302
ASH-QB00017,H318
ASH-QB00017,H335
IFF-QB00240,H226
IFF-QB00240,H227
IFF-QB00240,H302
IFF-QB00240,H304
IFF-QB00240,H315
IFF-QB00240,H317
IFF-QB00240,H319
IFF-QB00240,H410
VAR-QB00085,H315
VAR-QB00085,H317
VAR-QB00085,H411
IFF-QB00142,H217
IFF-QB00142,H361
IFF-QB00173,H315
IFF-QB00173,H317
IFF-QB00173,H319
IFF-QB00173,H361
IFF-QB00177,H227
IFF-QB00177,H304
IFF-QB00177,H315
IFF-QB00177,H317
IFF-QB00177,H319
IFF-QB00177,H361
IFF-QB00190,H317
IFF-QB00190,H361
IFF-QB00189,H315
IFF-QB00189,H317
IFF-QB00189,H319
IFF-QB00189,H361
IFF-QB00185,H317
IFF-QB00185,H319
IFF-QB00185,H361
IFF-QB00192,H227
IFF-QB00192,H315
IFF-QB00192,H317
IFF-QB00192,H361
VAR-QB00183,H318
VAR-QB00183,H335
VAR-QB00183,H411
IFF-QB00186,H227
IFF-QB00186,H315
IFF-QB00186,H317
IFF-QB00186,H319
IFF-QB00186,H361
LUB-QB00034,H316
IFF-QB00011,H226
IFF-QB00011,H315
IFF-QB00011,H317
IFF-QB00011,H318
IFF-QB00011,H361
IFF-QB00012,H227
IFF-QB00012,H315
IFF-QB00012,H317
IFF-QB00012,H318
IFF-QB00012,H361
IFF-QB00143,H227
IFF-QB00143,H304
IFF-QB00143,H315
IFF-QB00143,H317
IFF-QB00143,H319
IFF-QB00143,H361
IFF-QB00048,H315
IFF-QB00048,H317
IFF-QB00048,H319
IFF-QB00048,H351
IFF-QB00048,H361
IFF-QB00090,H315
IFF-QB00090,H317
IFF-QB00090,H319
IFF-QB00090,H361
IFF-QB00013,H315
IFF-QB00013,H317
IFF-QB00013,H319
IFF-QB00013,H351
IFF-QB00013,H361
IFF-QB00010,H315
IFF-QB00010,H317
IFF-QB00010,H319
IFF-QB00010,H351
IFF-QB00010,H361
IFF-QB00049,H315
IFF-QB00049,H317
IFF-QB00049,H319
IFF-QB00049,H350
IFF-QB00049,H361
IFF-QB00050,H315
IFF-QB00050,H317
IFF-QB00050,H318
IFF-QB00050,H351
IFF-QB00050,H361
IFF-QB00144,H315
IFF-QB00144,H317
IFF-QB00144,H319
IFF-QB00144,H361
IFF-QB00259,H303
IFF-QB00259,H315
IFF-QB00259,H317
IFF-QB00259,H319
IFF-QB00259,H351
IFF-QB00259,H411
IFF-QB00208,H227
IFF-QB00208,H315
IFF-QB00208,H317
IFF-QB00208,H319
IFF-QB00208,H361
VAR-QB00093,H302
VAR-QB00093,H314
VAR-QB00093,H317
VAR-QB00093,H318
KAO-QB00048,H315
KAO-QB00048,H318
KAO-QB00048,H400
KAO-QB00048,H411
KAO-QB00049,H315
KAO-QB00049,H318
KAO-QB00049,H400
KAO-QB00049,H411
KAO-QB00052,H318
IFF-QB00091,H227
IFF-QB00091,H315
IFF-QB00091,H317
IFF-QB00091,H319
IFF-QB00091,H651
IFF-QB00091,H361
IFF-QB00092,H227
IFF-QB00092,H315
IFF-QB00092,H317
IFF-QB00092,H319
IFF-QB00092,H336
IFF-QB00092,H350
IFF-QB00092,H361
IFF-QB00051,H227
IFF-QB00051,H315
IFF-QB00051,H317
IFF-QB00051,H319
IFF-QB00051,H361
IFF-QB00051,H373
IFF-QB00052,H227
IFF-QB00052,H315
IFF-QB00052,H317
IFF-QB00052,H318
IFF-QB00052,H361
IFF-QB00093,H227
IFF-QB00093,H317
IFF-QB00093,H361
IFF-QB00244,H226
IFF-QB00244,H315
