Codigo interno ,Chemical Name
VAR-QB00053,COLOR DC GREEN No8 (GEL FOSFORECENTE)
VAR-QB00060,COLOR ROJO NO. 5 GEL
,COLOR HA WOOL VIOLET CON
VAR-QB00054,COLOR NEGRO ACIDO 194
VAR-QB00049,COLOR AZUL ACIDO 324 (SUAVIZANTE)
VAR-QB00154,DIETILEN GLICOL
VAR-QB00074,DIPROPILEN GLICOL
VAR-QB00117,MONOPROPILEN GLICOL
VAR-QB00116,MONOETANOLAMINA  TAMBO 200 KG
VAR-QB00146,TWEN 20 QE
VAR-QB00004,ACEITE DE COCO 
VAR-QB00141,TERPENOS DE NARANJA
VAR-QB00077,EMULBOSS 54
VAR-QB00075,D-LIMONENO
VAR-QB00078,EMULSION 37
VAR-QB00039,CICLODIMETICONA 8014 SILIKA
VAR-QB00135,SILICON 1000
VAR-QB00038,CICLODIMETICONA 8002 SILIKA
,CICLODIMETICONA 8050 SILIKA 
,PRONALEN GUARANA 
,PRONALEN ADELAGAZANTE 
VAR-QB00107,KERATINA K100
VAR-QB00083,EXFOLIANTE OLIVE 6 
VAR-QB00100,GLICERINA USP
VAR-QB00091,FISION HAIR MOISTURE
VAR-QB00041,COLAGENO (COLLATEIN N359
VAR-QB00092,FISION SKIN MOUSTURE 
VAR-QB00026,BASE SARRIGEL QB
PRD-QB00001,BASE AROMATIZANTE
VAR-QB00036,CERABOSS 4048 BASE
VAR-QB00034,CERA DE ABEJA BCA 
VAR-QB00001,ABRILLANTADOR OPTICO POLVO
VAR-QB00163,ESTABILIZADOR DE PEROXIDO
VAR-QB00073,DETERCL  30-12
PRD-QB00008,BOSS DTO EUZKADI 
PRD-QB00002,BASE LIMPIADOR QB12
PRD-QB00003,BASE SHAMPOO
VAR-QB00177,PLANCHA FACIL MOD 1
VAR-QB00087,EXTRACTO DE JOJOBA 
VAR-QB00013,ALCANFOR 
VAR-QB00040,CITRONELLA ACEITE ES. 100
VAR-QB00085,EXTRACTO DE EUCALIPTO 
VAR-QB00112,MENTA DE BRASIL 
PRD-QB00005,CITRONELLA QBD09
VAR-QB00133,REPELENTE PARA INSECTOS 
,BASE DETERGENTE
LUB-QB00009,CARBOPOL 940
LUB-QB00025,CARBOPOL ULTREZ 21
LUB-QB00014,CARBOPOL AQUA SF1
LUB-QB00022,CARBOPOL ULTREZ 10 NF 
LUB-QB00013,CARBOPOL 99620
LUB-QB00008,CARBOPOL 934
LUB-QB00030,FIXATE G100
LUB-QB00033,FIXATE RSP( GOOD RITE)
LUB-QB00034,FIXATE SUPER HOLD
LUB-QB00029,FIXATE (MT) FREESTYLE
LUB-QB00047,NOVEMER EC1
LUB-QB00068,SILSENSE TM COPOLYOL-1 SILICONE
LUB-QB00060,SCHERCEMOL IDO 
LUB-QB00037,GLUCAM P20
LUB-QB00038,GLUCAMATE LT
LUB-QB00001,ACETULAN 
LUB-QB00061,SCHERCEMOL NGDO
LUB-QB00040,GLUCATE SS 
LUB-QB00053,PEMULEN TR-2 
LUB-QB00051,NOVETHIX L-10
LUB-QB00064,SENSOMER 10M (POLYQUATERNIUM 10)
LUB-QB00045,MERQUAT 550 (POLIQUATERNIUM 7)
LUB-QB00027,CHEMORYL SFB 10-SK
LUB-QB00048,NOVERITE 100 
BSF-QB00001,BUTONAL NX 4190
VAR-QB00142,TRANSCUTOL CG
VAR-QB00068,DANAGEL 9254 
ASH-QB00033,OPACIFICANTE A-430
