Codigo interno ,Chemical Name,,NETO ,TARA ,BRUTO,,
IFF-QB00375,SWEET COFEE,,,,,,
IFF-QB00341,SWEET HONEY ,,,,,,
IFF-QB00350,ROSE DE PARIS 55,,,,,,
IFF-QB00382,CAPRI 07,,,,,,
IFF-QB00383,LAVENDER AIR 0101,,,,,,
KAO-QB00057,KAO SOFCARE GP1,,,,,,
KAO-QB00062,QUARTAMIN 60,,,,,,
KAO-QB00025,BETADET HR2,,,,,,
KAO-QB00076,TETRANYL BC-80E,,,,,,
KAO-QB00028,CORROMIN E-4,,,,,,
KAO-QB00049,FORMOX DMCD (E),,,,,,
KAO-QB00044,EMAL 227 (LESS QKA),,,,,,
KAO-QB00019,ALFANOX 46 ,,,,,,
VAR-QB00002,ABRILLANTADOR OPTICO(LIQUIDO),,,,,,
VAR-QB00011,ADBS QB,,,,,,
VAR-QB00122,NF-600,,,,,,
VAR-QB00030,BETAINA QB,,,,,,
VAR-QB00119,NF1000 QB,,,,,,
VAR-QB00023,ANTIESPUMANTE,,,,,,
VAR-QB00118,NACARANTE QB,,,,,,
VAR-QB00140,TEA USO INDUSTRIAL (TRIETANOLAMINA 85%),,,,,,
VAR-QB00070,DEAC DE COCO,,,,,,
VAR-QB00093,FONGRABAC MG (CONSERVA GEL SHAMPOO),,,,,,
VAR-QB00154,DIETILEN GLICOL,,,,,,
VAR-QB00074,DIPROPILEN GLICOL,,,,,,
VAR-QB00117,MONOPROPILEN GLICOL,,,,,,
VAR-QB00146,TWEN 20 QE,,,,,,
VAR-QB00078,EMULSION 37,,,,,,
VAR-QB00135,SILICON 1000,,,,,,
VAR-QB00038,CICLODIMETICONA 8002 SILIKA,,,,,,
VAR-QB00107,KERATINA K100,,,,,,
VAR-QB00100,GLICERINA USP,,,,,,
VAR-QB00091,FISION HAIR MOISTURE,,,,,,
VAR-QB00041,COLAGENO (COLLATEIN N359,,,,,,
VAR-QB00177,PLANCHA FACIL MOD 1,,,,,,
VAR-QB00085,EXTRACTO DE EUCALIPTO ,,,,,,
VAR-QB00112,MENTA DE BRASIL ,,,,,,
VAR-QB00133,REPELENTE PARA INSECTOS ,,,,,,
VAR-QB00178,CARBOMER LIQUID QBW,,,,,,
VAR-QB00142,TRANSCUTOL CG,,,,,,
