product_id,pictogram_id
IFF-QB00089,GHS08
ASH-QB00016,GHS07
ASH-QB00016,GHS05
ASH-QB00059,GHS07
ASH-QB00059,GHS05
ASH-QB00076,GHS07
ASH-QB00076,GHS05
ASH-QB00017,GHS07
ASH-QB00017,GHS05
IFF-QB00240,GHS07
IFF-QB00240,GHS08
IFF-QB00240,GHS02
IFF-QB00240,GHS09
VAR-QB00085,GHS07
VAR-QB00085,GHS08
VAR-QB00085,GHS02
VAR-QB00085,GHS09
IFF-QB00142,GHS07
IFF-QB00142,GHS08
IFF-QB00173,GHS07
IFF-QB00173,GHS08
IFF-QB00177,GHS07
IFF-QB00177,GHS08
IFF-QB00190,GHS07
IFF-QB00190,GHS08
IFF-QB00189,GHS07
IFF-QB00189,GHS08
IFF-QB00185,GHS07
IFF-QB00185,GHS08
IFF-QB00192,GHS07
IFF-QB00192,GHS08
VAR-QB00183,GHS07
VAR-QB00183,GHS05
VAR-QB00183,GHS09
IFF-QB00186,GHS07
IFF-QB00186,GHS08
LUB-QB00033,GHS05
LUB-QB00034,GHS05
IFF-QB00011,GHS07
IFF-QB00011,GHS05
IFF-QB00011,GHS08
IFF-QB00011,GHS02
IFF-QB00012,GHS07
IFF-QB00012,GHS05
IFF-QB00012,GHS08
IFF-QB00143,GHS07
IFF-QB00143,GHS08
IFF-QB00048,GHS07
IFF-QB00048,GHS08
IFF-QB00090,GHS07
IFF-QB00090,GHS08
IFF-QB00013,GHS07
IFF-QB00013,GHS08
IFF-QB00010,GHS07
IFF-QB00010,GHS08
IFF-QB00049,GHS07
IFF-QB00049,GHS08
IFF-QB00050,GHS07
IFF-QB00050,GHS05
IFF-QB00050,GHS08
IFF-QB00144,GHS07
IFF-QB00144,GHS08
IFF-QB00259,GHS07
IFF-QB00259,GHS08
IFF-QB00259,GHS09
IFF-QB00208,GHS07
IFF-QB00208,GHS08
VAR-QB00093,GHS07
VAR-QB00093,GHS05
KAO-QB00048,GHS05
KAO-QB00048,GHS09
KAO-QB00049,GHS05
KAO-QB00049,GHS09
KAO-QB00052,GHS05
IFF-QB00091,GHS07
IFF-QB00091,GHS08
IFF-QB00092,GHS07
IFF-QB00092,GHS08
IFF-QB00051,GHS07
IFF-QB00051,GHS08
IFF-QB00052,GHS07
IFF-QB00052,GHS05
IFF-QB00052,GHS08
IFF-QB00093,GHS07
IFF-QB00093,GHS08
IFF-QB00244,GHS07
IFF-QB00244,GHS08
IFF-QB00244,GHS02
IFF-QB00322,GHS07
IFF-QB00322,GHS08
IFF-QB00145,GHS07
IFF-QB00145,GHS08
IFF-QB00014,GHS07
IFF-QB00014,GHS08
IFF-QB00146,GHS07
IFF-QB00146,GHS08
IFF-QB00146,GHS02
ASH-QB00060,GHS07
ASH-QB00070,GHS07
ASH-QB00070,GHS08
ASH-QB00020,GHS07
ASH-QB00020,GHS08
IFF-QB00187,GHS07
IFF-QB00187,GHS08
IFF-QB00015,GHS07
IFF-QB00147,GHS07
IFF-QB00147,GHS08
IFF-QB00053,GHS07
IFF-QB00053,GHS08
IFF-QB00245,GHS07
IFF-QB00245,GHS08
VAR-QB00102,GHS05
VAR-QB00102,GHS09
VAR-QB00103,GHS05
VAR-QB00104,GHS07
VAR-QB00104,GHS05
VAR-QB00104,GHS08
VAR-QB00104,GHS06
VAR-QB00104,GHS09
IFF-QB00246,GHS07
IFF-QB00054,GHS07
IFF-QB00054,GHS08
IFF-QB00094,GHS07
IFF-QB00094,GHS08
IFF-QB00319,GHS07
IFF-QB00319,GHS08
KAO-QB00012,GHS05
KAO-QB00013,GHS05
IFF-QB00055,GHS07
IFF-QB00055,GHS08
IFF-QB00200,GHS07
IFF-QB00200,GHS08
IFF-QB00095,GHS07
IFF-QB00095,GHS05
IFF-QB00095,GHS08
IFF-QB00188,GHS07
IFF-QB00188,GHS08
KAO-QB00086,GHS07
KAO-QB00086,GHS05
KAO-QB00086,GHS08
ASH-QB00061,GHS07
VAR-QB00105,GHS07
VAR-QB00105,GHS03
VAR-QB00106,GHS07
IFF-QB00016,GHS07
IFF-QB00016,GHS08
IFF-QB00017,GHS07
IFF-QB00249,GHS07
IFF-QB00249,GHS08
KAO-QB00084,GHS07
KAO-QB00084,GHS05
KAO-QB00084,GHS09
KAO-QB00014,GHS07
KAO-QB00014,GHS05
KAO-QB00014,GHS08
KAO-QB00014,GHS09
KAO-QB00054,GHS02
KAO-QB00056,GHS07
KAO-QB00056,GHS08
KAO-QB00056,GHS02
KAO-QB00059,GHS02
IFF-QB00151,GHS07
IFF-QB00151,GHS08
IFF-QB00018,GHS07
IFF-QB00018,GHS08
IFF-QB00324,GHS07
IFF-QB00324,GHS08
IFF-QB00250,GHS07
IFF-QB00250,GHS09
IFF-QB00251,GHS07
IFF-QB00019,GHS07
IFF-QB00019,GHS08
IFF-QB00020,GHS07
IFF-QB00020,GHS08
IFF-QB00021,GHS07
IFF-QB00021,GHS08
IFF-QB00021,GHS02
VAR-QB00108,GHS05
VAR-QB00109,GHS07
IFF-QB00022,GHS07
IFF-QB00022,GHS05
IFF-QB00022,GHS08
IFF-QB00023,GHS07
IFF-QB00023,GHS08
IFF-QB00024,GHS07
IFF-QB00024,GHS08
IFF-QB00024,GHS02
IFF-QB00096,GHS07
IFF-QB00096,GHS08
IFF-QB00201,GHS07
IFF-QB00201,GHS08
IFF-QB00097,GHS07
VAR-QB00111,GHS05
ASH-QB00066,GHS07
ASH-QB00067,GHS07
ASH-QB00024,GHS05
ASH-QB00024,GHS08
ASH-QB00025,GHS07
ASH-QB00025,GHS05
IFF-QB00202,GHS07
IFF-QB00202,GHS08
IFF-QB00056,GHS07
IFF-QB00056,GHS08
IFF-QB00057,GHS07
IFF-QB00057,GHS08
IFF-QB00152,GHS07
IFF-QB00152,GHS08
IFF-QB00036,GHS07
IFF-QB00036,GHS08
IFF-QB00025,GHS07
IFF-QB00025,GHS08
IFF-QB00025,GHS02
IFF-QB00254,GHS07
IFF-QB00254,GHS08
IFF-QB00209,GHS07
IFF-QB00209,GHS05
IFF-QB00209,GHS08
IFF-QB00099,GHS07
VAR-QB00112,GHS07
VAR-QB00112,GHS09
VAR-QB00113,GHS07
IFF-QB00255,GHS07
IFF-QB00255,GHS08
IFF-QB00256,GHS07
IFF-QB00256,GHS08
IFF-QB00256,GHS09
IFF-QB00100,GHS07
IFF-QB00100,GHS09
VAR-QB00114,GHS07
VAR-QB00115,GHS07
VAR-QB00115,GHS05
VAR-QB00115,GHS09
IFF-QB00101,GHS07
IFF-QB00101,GHS08
IFF-QB00154,GHS07
IFF-QB00154,GHS08
IFF-QB00210,GHS07
IFF-QB00210,GHS08
IFF-QB00026,GHS07
IFF-QB00026,GHS08
IFF-QB00026,GHS02
IFF-QB00027,GHS07
IFF-QB00027,GHS08
IFF-QB00257,GHS07
IFF-QB00257,GHS08
IFF-QB00257,GHS09
VAR-QB00119,GHS07
VAR-QB00119,GHS05
VAR-QB00119,GHS09
VAR-QB00122,GHS07
VAR-QB00122,GHS05
VAR-QB00122,GHS09
ASH-QB00056,GHS07
IFF-QB00258,GHS07
IFF-QB00258,GHS08
IFF-QB00258,GHS09
LUB-QB00047,GHS05
LUB-QB00048,GHS07
LUB-QB00048,GHS09
LUB-QB00049,GHS09
LUB-QB00051,GHS05
VAR-QB00125,GHS05
IFF-QB00102,GHS07
ASH-QB00034,GHS07
ASH-QB00053,GHS07
IFF-QB00238,GHS07
IFF-QB00238,GHS05
IFF-QB00238,GHS09
IFF-QB00309,GHS07
IFF-QB00309,GHS08
IFF-QB00156,GHS07
IFF-QB00103,GHS07
IFF-QB00104,GHS07
IFF-QB00104,GHS08
IFF-QB00211,GHS07
IFF-QB00211,GHS08
IFF-QB00260,GHS07
IFF-QB00260,GHS08
IFF-QB00260,GHS09
IFF-QB00157,GHS07
IFF-QB00105,GHS07
VAR-QB00191,GHS09
VAR-QB00175,GHS09
IFF-QB00231,GHS07
IFF-QB00231,GHS08
IFF-QB00213,GHS07
ASH-QB00037,GHS07
IFF-QB00058,GHS07
IFF-QB00058,GHS08
KAO-QB00062,GHS05
KAO-QB00062,GHS09
KAO-QB00063,GHS05
KAO-QB00063,GHS09
KAO-QB00064,GHS05
KAO-QB00064,GHS09
KAO-QB00065,GHS05
KAO-QB00065,GHS08
KAO-QB00065,GHS09
KAO-QB00066,GHS07
KAO-QB00066,GHS05
KAO-QB00066,GHS02
KAO-QB00067,GHS07
KAO-QB00067,GHS05
KAO-QB00067,GHS02
KAO-QB00067,GHS09
KAO-QB00069,GHS05
KAO-QB00069,GHS02
KAO-QB00069,GHS09
IFF-QB00059,GHS07
IFF-QB00059,GHS08
IFF-QB00060,GHS07
IFF-QB00060,GHS08
IFF-QB00061,GHS07
IFF-QB00061,GHS08
IFF-QB00158,GHS07
IFF-QB00158,GHS08
